condition,lid,media,LR_asym_pct,TB_asym_pct
off_100mM1,off,100mM,22.485095081977235,5.196896844781546
off_100mM2,off,100mM,22.270523787497325,4.631091298420299
off_100mM3,off,100mM,21.34456291937921,5.577054176629173
off_5mM1,off,5mM,5.748769118036079,4.997537274995317
off_5mM2,off,5mM,5.131149662673905,4.425922196191435
off_5mM3,off,5mM,27.0096217461237,3.9673617352876223
off_NO10_1,off,NO10,23.436949870311608,5.08815779401539
off_NO10_2,off,NO10,24.343457088488382,5.3669709435570905
off_empty,off,empty,20.463507178216304,5.456463200300212
off_serum1,off,serum,21.707424106127174,5.552031278921437
off_serum2,off,serum,24.808398358322194,4.997125629865052
off_serum3,off,serum,21.17873345263206,4.638583165957363
on_100mM1,on,100mM,24.30430665797305,4.279740693306899
on_100mM2,on,100mM,23.241318016606726,7.097753046513148
on_100mM3,on,100mM,23.83659738411729,4.362845420175474
on_5mM1,on,5mM,5.874282225820214,5.32382514913019
on_5mM2,on,5mM,5.071886881475101,6.522651616830697
on_5mM3,on,5mM,29.22625312534252,4.632547238585748
on_NO10_1,on,NO10,24.821578018261505,4.777478586013688
on_NO10_2,on,NO10,24.240038804868473,4.01455306032019
on_empty,on,empty,18.453718120810073,4.95116209650607
on_serum1,on,serum,26.027691401630527,2.784387852018094
on_serum2,on,serum,25.605981409202883,4.015169383167923
on_serum3,on,serum,32.09219072553745,3.609980311302774
