condition,lid,media,replicate,n_images,missing_directions,extra_directions,n_unique_exposures,exposures_ms,shapes,dtypes,led_intensities,mean_of_means,max_frac_saturated,max_frac_zero
off_100mM1,off,100mM,1.0,5,,,1,[10.0],['2400x2400'],['uint16'],[5.0],26120.025353819445,0.0,0.0
off_100mM2,off,100mM,2.0,5,,,1,[10.0],['2400x2400'],['uint16'],[5.0],26205.937218784722,0.0,0.0
off_100mM3,off,100mM,3.0,5,,,1,[10.0],['2400x2400'],['uint16'],[5.0],26201.814831597225,0.0,0.0
off_5mM1,off,5mM,1.0,5,,,1,[10.0],['2400x2400'],['uint16'],[5.0],26907.95859947917,0.0,0.0
off_5mM2,off,5mM,2.0,5,,,1,[10.0],['2400x2400'],['uint16'],[5.0],26880.052170000003,0.0,0.0
off_5mM3,off,5mM,3.0,5,,,1,[10.0],['2400x2400'],['uint16'],[5.0],26090.3295446875,0.0,0.0
off_NO10_1,off,NO10,1.0,5,,,1,[10.0],['2400x2400'],['uint16'],[5.0],26072.98994579861,0.0,0.0
off_NO10_2,off,NO10,2.0,5,,,1,[10.0],['2400x2400'],['uint16'],[5.0],25913.886435347224,0.0,0.0
off_empty,off,empty,,5,,,1,[10.0],['2400x2400'],['uint16'],[5.0],28445.414298368054,0.0,0.0
off_serum1,off,serum,1.0,5,,,1,[10.0],['2400x2400'],['uint16'],[5.0],26212.294236145834,0.0,0.0
off_serum2,off,serum,2.0,5,,,1,[10.0],['2400x2400'],['uint16'],[5.0],26205.30295329861,0.0,0.0
off_serum3,off,serum,3.0,5,,,1,[10.0],['2400x2400'],['uint16'],[5.0],26356.14944420139,0.0,0.0
on_100mM1,on,100mM,1.0,5,,,1,[10.0],['2400x2400'],['uint16'],[5.0],23816.095533888893,0.0,0.0
on_100mM2,on,100mM,2.0,5,,,1,[10.0],['2400x2400'],['uint16'],[5.0],24379.430223263887,0.0,0.0
on_100mM3,on,100mM,3.0,5,,,1,[10.0],['2400x2400'],['uint16'],[5.0],23790.467812638886,0.0,0.0
on_5mM1,on,5mM,1.0,5,,,1,[10.0],['2400x2400'],['uint16'],[5.0],24381.615899618053,0.0,0.0
on_5mM2,on,5mM,2.0,5,,,1,[10.0],['2400x2400'],['uint16'],[5.0],24567.112912951387,0.0,0.0
on_5mM3,on,5mM,3.0,5,,,1,[10.0],['2400x2400'],['uint16'],[5.0],24290.107938229165,0.0,0.0
on_NO10_1,on,NO10,1.0,5,,,1,[10.0],['2400x2400'],['uint16'],[5.0],23934.908953715276,0.0,0.0
on_NO10_2,on,NO10,2.0,5,,,1,[10.0],['2400x2400'],['uint16'],[5.0],23870.46792826389,0.0,0.0
on_empty,on,empty,,5,,,1,[10.0],['2400x2400'],['uint16'],[5.0],28504.327618680552,0.0,0.0
on_serum1,on,serum,1.0,5,,,1,[10.0],['2400x2400'],['uint16'],[5.0],23982.463085,0.0,0.0
on_serum2,on,serum,2.0,5,,,1,[10.0],['2400x2400'],['uint16'],[5.0],23906.95613277778,0.0,0.0
on_serum3,on,serum,3.0,5,,,1,[10.0],['2400x2400'],['uint16'],[5.0],24353.805415,0.0,0.0
