condition,lid,media,replicate,set,n_cells,bg_phi,median_area_um2,median_dry_mass_pg_exploratory,mean_dry_mass_pg_exploratory,total_dry_mass_pg_exploratory,seg_threshold,n_components_raw,n_components_kept
off_100mM1,off,100mM,1,primary,698,-8.255343345808797e-06,113.65250000000002,4.0731089977808,0.8733438811377501,609.5940290341496,0.05619977765250951,824,698
off_100mM2,off,100mM,2,primary,631,-1.7860729712992907e-05,141.53750000000002,32.3986994440156,22.844671396542626,14414.987651218398,0.05622557946294546,768,631
off_100mM3,off,100mM,3,primary,696,-3.3452510251663625e-05,100.13250000000001,-42.44460180589919,18.254744121154356,12705.301908323432,0.05781618148833513,853,696
off_5mM3,off,5mM,3,primary,842,-1.9830862584058195e-05,78.16250000000001,-8.572656748479417,13.591419953411055,11443.975600772108,0.07471866467129439,1033,842
off_NO10_1,off,NO10,1,primary,775,-8.786917533143423e-06,111.9625,-6.820131085366406,-6.6313901345117205,-5139.327354246583,0.06307178209908307,955,775
off_NO10_2,off,NO10,2,primary,727,5.563100557992584e-07,113.65250000000002,-91.8924393910231,-9.722857368926455,-7068.517307209532,0.0706483736326918,920,727
off_serum1,off,serum,1,primary,883,-1.4629364159191027e-05,95.06250000000001,-8.465694185475886,11.092252419143584,9794.458886103785,0.0590092093097046,1072,883
off_serum2,off,serum,2,primary,908,3.0763944778300356e-06,80.06375,-46.58344808990925,-18.875070336609586,-17138.563865641503,0.06722222102619707,1109,908
off_serum3,off,serum,3,primary,162,2.1488667698577046e-05,108.79375000000002,56.476862710609566,88.50156771015467,14337.253969045058,0.21304184927418826,238,162
on_100mM1,on,100mM,1,primary,806,1.614252687431872e-05,97.80875,8.001043217221044,-7.62844602051992,-6148.527492539056,0.065829779795371,959,806
on_100mM2,on,100mM,2,primary,673,-3.097494482062757e-05,84.50000000000001,91.91866364670857,28.49595198242925,19177.775684174885,0.07869884913321584,843,673
on_100mM3,on,100mM,3,primary,708,-1.2439340935088694e-05,85.76750000000001,9.386939676450556,-5.6861219433567785,-4025.774335896599,0.06772148335538805,883,708
on_5mM3,on,5mM,3,primary,829,-5.868832522537559e-05,81.965,104.1246146597039,56.55669960661045,46885.50397388006,0.07783884231187403,1039,829
on_NO10_1,on,NO10,1,primary,705,-1.3438165296975058e-05,80.275,-6.572872220304869,5.2445456851576395,3697.404708036136,0.07392549686878919,932,705
on_NO10_2,on,NO10,2,primary,714,-7.486343383789062e-05,92.5275,-97.10947868532588,89.17084628584063,63667.98424809021,0.08421515464875848,900,714
on_serum1,on,serum,1,primary,770,-3.3353964681737125e-05,68.02250000000001,16.622922992007737,10.204391186851257,7857.381213875468,0.08190869504678994,990,770
on_serum2,on,serum,2,primary,851,-8.31862234917935e-06,68.8675,-12.511402771492573,6.939868744366807,5905.828301456153,0.07618356921896338,1082,851
on_serum3,on,serum,3,primary,195,-8.680523023940623e-05,98.86500000000001,262.33913581526986,145.0189903159647,28278.70311161311,0.19561233511194587,285,195
