condition,lid,media,replicate,is_empty_field,direction,expected_led_mode,timestamp_str,tiff_path,file_size_bytes,yaml_path,experiment_id,recording_start_time,objective_name,magnification,NA,tube_lens_mm,sensor_pixel_size_um,trigger_mode,camera_mode,binning_x,binning_y,exposure_time_ms,analog_gain,pixel_format,roi_offset_x,roi_offset_y,roi_width,roi_height,led_matrix_mode,led_intensity,img_height,img_width,img_dtype,img_min,img_max,img_mean,img_std,img_p001,img_p01,img_p50,img_p99,img_p999,frac_saturated,frac_zero
off_100mM1,off,100mM,1.0,False,bffull,bf_full,2026-05-13_15-26-45,/data/Project_Data/QPM/20260513_Hela_p15/off_100mM1/2026-05-13_15-26-45_off_100mM1_bffull.tif,11520256,/data/Project_Data/QPM/20260513_Hela_p15/off_100mM1/2026-05-13_15-26-45_off_100mM1_bffull_acquisition_metadata.yaml,2026-05-13_15-26-45_off_100mM1_bffull,1778711205.4124959,10x,10.0,0.3,180.0,6.5,Continuous Acquisition,hdr,1,1,10.0,0.0,MONO16,0,0,2400,2400,bf_full,5.0,2400,2400,uint16,23520.0,52494.0,46237.05828420139,1272.247157857325,41121.998,42944.0,46491.0,48403.0,49209.0,0.0,0.0
off_100mM1,off,100mM,1.0,False,top,top_half,2026-05-13_15-26-57,/data/Project_Data/QPM/20260513_Hela_p15/off_100mM1/2026-05-13_15-26-57_off_100mM1_top.tif,11520256,/data/Project_Data/QPM/20260513_Hela_p15/off_100mM1/2026-05-13_15-26-57_off_100mM1_top_acquisition_metadata.yaml,2026-05-13_15-26-57_off_100mM1_top,1778711217.6681483,10x,10.0,0.3,180.0,6.5,Continuous Acquisition,hdr,1,1,10.0,0.0,MONO16,0,0,2400,2400,top_half,5.0,2400,2400,uint16,6542.0,38490.0,21556.67994496528,867.7521051816814,16765.999,19485.0,21642.0,23164.0,25980.001000001095,0.0,0.0
off_100mM1,off,100mM,1.0,False,left,left_half,2026-05-13_15-27-08,/data/Project_Data/QPM/20260513_Hela_p15/off_100mM1/2026-05-13_15-27-08_off_100mM1_left.tif,11520256,/data/Project_Data/QPM/20260513_Hela_p15/off_100mM1/2026-05-13_15-27-08_off_100mM1_left_acquisition_metadata.yaml,2026-05-13_15-27-08_off_100mM1_left,1778711228.2844222,10x,10.0,0.3,180.0,6.5,Continuous Acquisition,hdr,1,1,10.0,0.0,MONO16,0,0,2400,2400,left_half,5.0,2400,2400,uint16,6947.0,38889.0,23550.945267361112,764.1894023427371,18269.0,21721.0,23614.0,24990.0,27770.001000001095,0.0,0.0
off_100mM1,off,100mM,1.0,False,right,right_half,2026-05-13_15-27-21,/data/Project_Data/QPM/20260513_Hela_p15/off_100mM1/2026-05-13_15-27-21_off_100mM1_right.tif,11520256,/data/Project_Data/QPM/20260513_Hela_p15/off_100mM1/2026-05-13_15-27-21_off_100mM1_right_acquisition_metadata.yaml,2026-05-13_15-27-21_off_100mM1_right,1778711241.0272977,10x,10.0,0.3,180.0,6.5,Continuous Acquisition,hdr,1,1,10.0,0.0,MONO16,0,0,2400,2400,right_half,5.0,2400,2400,uint16,6418.0,32273.0,18790.669138194444,864.9403467644584,15389.0,16739.0,18925.0,20356.0,22918.0,0.0,0.0
off_100mM1,off,100mM,1.0,False,bottom,bottom_half,2026-05-13_15-27-32,/data/Project_Data/QPM/20260513_Hela_p15/off_100mM1/2026-05-13_15-27-32_off_100mM1_bottom.tif,11520256,/data/Project_Data/QPM/20260513_Hela_p15/off_100mM1/2026-05-13_15-27-32_off_100mM1_bottom_acquisition_metadata.yaml,2026-05-13_15-27-32_off_100mM1_bottom,1778711252.7331378,10x,10.0,0.3,180.0,6.5,Continuous Acquisition,hdr,1,1,10.0,0.0,MONO16,0,0,2400,2400,bottom_half,5.0,2400,2400,uint16,6850.0,35308.0,20464.774134375,820.84621952681,16062.0,18486.0,20571.0,21971.0,24693.0,0.0,0.0
off_100mM2,off,100mM,2.0,False,bffull,bf_full,2026-05-13_15-31-17,/data/Project_Data/QPM/20260513_Hela_p15/off_100mM2/2026-05-13_15-31-17_off_100mM2_bffull.tif,11520256,/data/Project_Data/QPM/20260513_Hela_p15/off_100mM2/2026-05-13_15-31-17_off_100mM2_bffull_acquisition_metadata.yaml,2026-05-13_15-31-17_off_100mM2_bffull,1778711477.2373412,10x,10.0,0.3,180.0,6.5,Continuous Acquisition,hdr,1,1,10.0,0.0,MONO16,0,0,2400,2400,bf_full,5.0,2400,2400,uint16,36651.0,53668.0,46388.00922465278,1274.1992537116603,42300.0,43058.0,46654.0,48570.0,49375.0,0.0,0.0
off_100mM2,off,100mM,2.0,False,top,top_half,2026-05-13_15-31-27,/data/Project_Data/QPM/20260513_Hela_p15/off_100mM2/2026-05-13_15-31-27_off_100mM2_top.tif,11520256,/data/Project_Data/QPM/20260513_Hela_p15/off_100mM2/2026-05-13_15-31-27_off_100mM2_top_acquisition_metadata.yaml,2026-05-13_15-31-27_off_100mM2_top,1778711487.7102516,10x,10.0,0.3,180.0,6.5,Continuous Acquisition,hdr,1,1,10.0,0.0,MONO16,0,0,2400,2400,top_half,5.0,2400,2400,uint16,6752.0,36108.0,21578.954982118055,836.2025183675653,18544.0,19530.0,21666.0,23204.0,25705.0,0.0,0.0
off_100mM2,off,100mM,2.0,False,left,left_half,2026-05-13_15-31-39,/data/Project_Data/QPM/20260513_Hela_p15/off_100mM2/2026-05-13_15-31-39_off_100mM2_left.tif,11520256,/data/Project_Data/QPM/20260513_Hela_p15/off_100mM2/2026-05-13_15-31-39_off_100mM2_left_acquisition_metadata.yaml,2026-05-13_15-31-39_off_100mM2_left,1778711499.200803,10x,10.0,0.3,180.0,6.5,Continuous Acquisition,hdr,1,1,10.0,0.0,MONO16,0,0,2400,2400,left_half,5.0,2400,2400,uint16,10991.0,39765.0,23594.289219097223,762.7844527163527,20313.0,21707.0,23663.0,25089.0,27730.0,0.0,0.0
off_100mM2,off,100mM,2.0,False,right,right_half,2026-05-13_15-31-48,/data/Project_Data/QPM/20260513_Hela_p15/off_100mM2/2026-05-13_15-31-48_off_100mM2_right.tif,11520256,/data/Project_Data/QPM/20260513_Hela_p15/off_100mM2/2026-05-13_15-31-48_off_100mM2_right_acquisition_metadata.yaml,2026-05-13_15-31-48_off_100mM2_right,1778711508.7338724,10x,10.0,0.3,180.0,6.5,Continuous Acquisition,hdr,1,1,10.0,0.0,MONO16,0,0,2400,2400,right_half,5.0,2400,2400,uint16,8714.0,30764.0,18866.202288368055,854.6954406365272,16060.0,16816.0,19001.0,20425.0,22761.0,0.0,0.0
off_100mM2,off,100mM,2.0,False,bottom,bottom_half,2026-05-13_15-32-00,/data/Project_Data/QPM/20260513_Hela_p15/off_100mM2/2026-05-13_15-32-00_off_100mM2_bottom.tif,11520256,/data/Project_Data/QPM/20260513_Hela_p15/off_100mM2/2026-05-13_15-32-00_off_100mM2_bottom_acquisition_metadata.yaml,2026-05-13_15-32-00_off_100mM2_bottom,1778711520.2377772,10x,10.0,0.3,180.0,6.5,Continuous Acquisition,hdr,1,1,10.0,0.0,MONO16,0,0,2400,2400,bottom_half,5.0,2400,2400,uint16,7283.0,40942.0,20602.2303796875,808.3989109106251,17621.0,18602.0,20708.0,22144.0,24514.0,0.0,0.0
