condition,lid,direction,raw_mean,ff_mean,post_mb_mean,post_mb_std
off_100mM1,off,bffull,46237.05828420139,46250.334823688696,0.9999999999999983,0.01415317011909621
off_100mM1,off,top,21556.67994496528,21561.634779798365,0.9999999999999997,0.026996578547376596
off_100mM1,off,bottom,20464.774134375,20469.813534901103,0.9999999999999987,0.02665288669645776
off_100mM1,off,left,23550.945267361112,23553.281319075064,0.9999999999999992,0.024801248398136768
off_100mM1,off,right,18790.669138194444,18796.37240757644,0.9999999999999989,0.02731368903098208
off_100mM2,off,bffull,46388.00922465278,46400.662632416446,1.0000000000000002,0.013018299621747042
off_100mM2,off,top,21578.954982118055,21583.935559193687,1.0000000000000002,0.024608005425274
off_100mM2,off,bottom,20602.2303796875,20607.028992779757,1.0000000000000004,0.02487632082728685
off_100mM2,off,left,23594.289219097223,23596.291184875852,1.0,0.024019456779045375
off_100mM2,off,right,18866.202288368055,18871.94153546643,1.0000000000000013,0.02614783410686889
off_100mM3,off,bffull,46283.57856927083,46296.66598022469,0.9999999999999996,0.016447033995216364
off_100mM3,off,top,21702.983617013888,21708.23501202738,1.0,0.024919313130462018
off_100mM3,off,bottom,20525.432786631944,20531.316862735217,1.0000000000000027,0.026652313604660874
off_100mM3,off,left,23516.24354392361,23518.07326831122,1.0000000000000004,0.0273871894183922
off_100mM3,off,right,18980.835641145834,18987.42795345556,1.0000000000000013,0.02742107458796995
off_5mM1,off,bffull,47487.379478993054,47501.64655538787,0.9999999999999997,0.01832228678343346
off_5mM1,off,top,22243.39224652778,22249.54892122527,1.000000000000002,0.03237648537075179
off_5mM1,off,bottom,21158.87012638889,21166.2044508817,1.0000000000000013,0.03339310152973876
off_5mM1,off,left,22452.412175,22455.201110977276,1.0000000000000022,0.034681803910441615
off_5mM1,off,right,21197.738970486113,21207.60244615678,1.0000000000000002,0.030849898413191888
off_5mM2,off,bffull,47457.21923541667,47471.744883134685,1.0000000000000002,0.014510870598280606
off_5mM2,off,top,22153.418650347223,22159.247315970923,1.0000000000000002,0.02608714916136323
off_5mM2,off,bottom,21194.153736458335,21201.945392559013,0.9999999999999996,0.0275750148529352
off_5mM2,off,left,22356.971806944446,22359.795401173706,0.9999999999999993,0.02858470448307485
off_5mM2,off,right,21238.497420833333,21249.06982638858,0.9999999999999997,0.02584000475369728
off_5mM3,off,bffull,46187.6196703125,46205.01456337565,1.0000000000000018,0.01418822358976245
off_5mM3,off,top,21397.241900868055,21404.90603447179,1.0000000000000002,0.031074856321627795
off_5mM3,off,bottom,20564.847952777778,20573.081065693103,0.9999999999999989,0.03166704009159901
off_5mM3,off,left,24007.367474479168,24012.091570443306,1.0000000000000002,0.03044564185096144
off_5mM3,off,right,18294.570725,18302.34627625114,0.9999999999999996,0.032343192551336726
off_NO10_1,off,bffull,46133.0902296875,46146.84597188744,1.0000000000000009,0.01316086808571038
off_NO10_1,off,top,21525.638438368056,21530.88476356452,1.0000000000000004,0.025370184184450032
off_NO10_1,off,bottom,20457.5529265625,20462.945805352843,1.0000000000000027,0.025664906126080512
off_NO10_1,off,left,23599.783860069445,23602.556788242255,0.9999999999999993,0.024243153412617513
off_NO10_1,off,right,18648.884274305554,18654.902370640568,0.9999999999999996,0.027265208504971973
off_NO10_2,off,bffull,45852.94694375,45867.197464802695,1.0000000000000004,0.013944956115565205
off_NO10_2,off,top,21424.376655555556,21430.048733590713,0.9999999999999982,0.02376255686458407
off_NO10_2,off,bottom,20304.586005034722,20310.664668845282,1.000000000000001,0.024523162118053252
off_NO10_2,off,left,23549.064921180554,23552.0353627229,1.0,0.0237556998202127
off_NO10_2,off,right,18438.457651215278,18444.64897864195,1.0000000000000013,0.02588815119450179
off_empty,off,bffull,50204.09262222222,50220.9862722714,1.0000000000000013,0.010881839430413676
off_empty,off,top,23555.869455208333,23563.40281486522,0.9999999999999993,0.017135579827453038
off_empty,off,bottom,22304.68725503472,22311.053703034504,1.0000000000000007,0.017750039687009653
off_empty,off,left,25442.823722743055,25446.494125008558,0.9999999999999986,0.016417224681659015
off_empty,off,right,20719.598436631946,20728.402201879147,0.9999999999999997,0.01842535684912001
off_serum1,off,bffull,46389.22306788195,46402.230740859115,1.0000000000000016,0.01298466394277113
off_serum1,off,top,21687.025894965278,21692.417560335627,1.000000000000001,0.023177739756003856
off_serum1,off,bottom,20515.47779236111,20520.251417890388,1.0000000000000009,0.023619767157828733
off_serum1,off,left,23539.644097569446,23541.771618938907,1.0000000000000009,0.02286830726558264
off_serum1,off,right,18930.10032795139,18936.21698399127,0.9999999999999993,0.025252209041498965
off_serum2,off,bffull,46434.447658680554,46450.38154224463,0.9999999999999981,0.013852842041910592
off_serum2,off,top,21592.17500763889,21598.734442314428,1.0000000000000016,0.02583040620240023
off_serum2,off,bottom,20539.488919444444,20546.27490109746,1.0000000000000009,0.026351282865893576
off_serum2,off,left,23863.638081770834,23867.107864365324,1.000000000000001,0.02480314711182626
off_serum2,off,right,18596.765098958334,18604.701179710326,0.9999999999999997,0.027187498421726543
off_serum3,off,bffull,46537.750103645834,46551.19180106147,1.0000000000000002,0.0258964808453923
off_serum3,off,top,21743.085928993056,21748.454354927064,0.9999999999999996,0.0423773583512246
off_serum3,off,bottom,20757.37628611111,20763.788924400287,1.000000000000002,0.04320538762458274
off_serum3,off,left,23634.34933559028,23636.406935055038,1.0000000000000002,0.04329511178278779
off_serum3,off,right,19108.185566666667,19115.521192669752,1.0000000000000007,0.041979879852096925
on_100mM1,on,bffull,42189.33379027778,42204.36513716679,0.9999999999999993,0.015711588008223174
on_100mM1,on,top,19559.482242881946,19567.425006597983,0.9999999999999992,0.027805751095405718
on_100mM1,on,bottom,18739.924593055555,18746.54542819592,1.0000000000000004,0.028486247324213405
on_100mM1,on,left,21640.732050520834,21645.361925170168,1.0,0.02783592481102142
on_100mM1,on,right,16951.004992708335,16957.340894203648,1.0,0.029893814031669772
on_100mM2,on,bffull,43236.56519097222,43254.162364052776,1.0,0.018522268391596954
on_100mM2,on,top,20284.784173090276,20294.569268411902,0.9999999999999997,0.030646761997532444
on_100mM2,on,bottom,18894.364561631945,18902.41502392714,0.9999999999999997,0.032044421049513605
on_100mM2,on,left,22034.7201890625,22040.470038478747,1.0000000000000002,0.0325343923790019
on_100mM2,on,right,17446.7170015625,17454.57026214963,0.999999999999999,0.0313318791732401
on_100mM3,on,bffull,42211.08335381944,42225.287536402706,1.0000000000000016,0.015694294966539218
on_100mM3,on,top,19532.89007829861,19539.955010120608,0.9999999999999993,0.02652324046381913
on_100mM3,on,bottom,18698.89327378472,18705.542712841292,1.0,0.027398117613364487
on_100mM3,on,left,21549.573148784722,21552.983562189784,1.0000000000000007,0.027261646769704835
on_100mM3,on,right,16959.899208506944,16965.287096399847,1.0000000000000004,0.028716026743697238
on_5mM1,on,bffull,43205.44441354166,43221.87307841935,1.0000000000000002,0.01850394398356569
on_5mM1,on,top,20112.720593229165,20120.806113984465,0.9999999999999979,0.03262055756502459
on_5mM1,on,bottom,19069.71832465278,19077.457759654142,1.0000000000000007,0.034153274492959095
on_5mM1,on,left,20340.480048090278,20345.275311196674,0.999999999999999,0.03487907539128091
on_5mM1,on,right,19179.716118576387,19188.323108558343,1.0000000000000016,0.0313771125124768
on_5mM2,on,bffull,43553.81000052083,43572.422549573035,1.0000000000000007,0.016918475472355803
on_5mM2,on,top,20393.327004166666,20401.751235393196,1.0000000000000007,0.03019207907066375
on_5mM2,on,bottom,19105.152885590276,19113.610646854802,0.9999999999999996,0.03243976076587295
on_5mM2,on,left,20396.07800954861,20403.382559102625,0.9999999999999987,0.03232897842030752
on_5mM2,on,right,19387.196664930554,19399.367790182292,1.0000000000000013,0.029564106303497487
on_5mM3,on,bffull,43051.81527586806,43071.26838024432,1.0000000000000007,0.015835056056336595
on_5mM3,on,top,19931.016868229166,19942.04260171226,0.9999999999999997,0.030730238860891813
on_5mM3,on,bottom,19028.605415104168,19038.271386117813,0.9999999999999986,0.03276411059400698
on_5mM3,on,left,22601.194020833333,22609.01110088079,0.9999999999999999,0.03087241864856795
on_5mM3,on,right,16837.90811111111,16847.10121341617,1.0000000000000007,0.03325641749804144
on_NO10_1,on,bffull,42451.69191423611,42469.08787892652,0.9999999999999986,0.021048862017312778
on_NO10_1,on,top,19694.855980555556,19704.335254652953,1.0000000000000007,0.032535752739343705
on_NO10_1,on,bottom,18775.89015138889,18782.948535750522,1.0000000000000002,0.030888106705772907
on_NO10_1,on,left,21780.774462152778,21785.678245940617,0.9999999999999989,0.031086035246587027
on_NO10_1,on,right,16971.332260243056,16978.89881378975,0.9999999999999992,0.03216211401107956
on_NO10_2,on,bffull,42642.5286328125,42654.523961680505,1.0000000000000004,0.033838941736487375
on_NO10_2,on,top,19487.298930902776,19494.084135186946,1.0000000000000009,0.0366332427619676
on_NO10_2,on,bottom,18720.365451041667,18726.939037878215,0.9999999999999993,0.03781143505649528
on_NO10_2,on,left,21584.30713402778,21585.170616292857,0.9999999999999997,0.053084583848240094
