condition,lid,set
off_5mM1,off,caveat
off_5mM2,off,caveat
on_5mM1,on,caveat
on_5mM2,on,caveat
off_empty,off,empty
on_empty,on,empty
off_100mM1,off,primary
off_100mM2,off,primary
off_100mM3,off,primary
off_5mM3,off,primary
off_NO10_1,off,primary
off_NO10_2,off,primary
off_serum1,off,primary
off_serum2,off,primary
off_serum3,off,primary
on_100mM1,on,primary
on_100mM2,on,primary
on_100mM3,on,primary
on_5mM3,on,primary
on_NO10_1,on,primary
on_NO10_2,on,primary
on_serum1,on,primary
on_serum2,on,primary
on_serum3,on,primary
