condition,lid,set,dpc_x_mean,dpc_x_std,dpc_x_std_bg,dpc_x_std_cell,dpc_y_mean,dpc_y_std,dpc_y_std_bg,dpc_y_std_cell,bg_fraction,cell_fraction,bf_p70,bf_p30
off_100mM1,off,primary,3.2391546249172775e-05,0.02045432614697293,0.020718712050181616,0.02480112989581226,-6.242836175899834e-06,0.021679584179713926,0.02106327696742076,0.027252854040892692,0.3,0.3,1.006790834310554,0.9935716741066082
off_100mM2,off,primary,2.678193358482134e-05,0.019503812687555654,0.022098983114991966,0.01997466415398446,3.0629943162982076e-06,0.01932441913671203,0.022519611677796925,0.018823471800971475,0.3,0.3,1.0066669601397773,0.9932592289266101
off_100mM3,off,primary,-8.322464754961798e-07,0.020971671324521515,0.016075497650924375,0.029618197264350676,2.3872398768098712e-05,0.018615200321219733,0.015922253288439023,0.024284557572751178,0.3,0.3,1.0082474971055941,0.9938515243682193
off_5mM1,off,caveat,-6.281016282013844e-05,0.02526262228792197,0.02560419578416514,0.02722533447569864,1.6734344034895488e-05,0.02541426272388951,0.025889173420979985,0.026888571969928485,0.3,0.3,1.009278952663624,0.9904073488845656
off_5mM2,off,caveat,-3.743901240112749e-05,0.021522002122035793,0.021249856751863246,0.024207509355618325,1.9863360374804392e-05,0.021118543041910926,0.020731430974701773,0.02336762880310985,0.3,0.3,1.0075199384471714,0.9925825152110328
off_5mM3,off,primary,2.9607076407727848e-05,0.0264140316041069,0.03171989292078136,0.027915842238968033,9.173365026430654e-06,0.02594550828530302,0.03283016585691106,0.024793604711552928,0.3,0.3,1.0067865329393555,0.9928184463102209
off_NO10_1,off,primary,3.883134083984661e-05,0.02018950295286899,0.0226544930950673,0.02157079049522565,3.6663711929121794e-06,0.020014134980989792,0.02270662155940416,0.020212657875786428,0.3,0.3,1.0066144711761866,0.9932205865176522
off_NO10_2,off,primary,2.6174432369548673e-05,0.018883152277734204,0.017787818482660554,0.02257859155901343,9.32991626385071e-06,0.01786078804559891,0.01755168570282973,0.01983413171235096,0.3,0.3,1.0071293551016602,0.9933158557355235
off_empty,off,empty,1.7581620186595194e-05,0.011806063612634615,0.011760682223098668,0.01186211148529932,5.393460868782677e-06,0.011773235739992406,0.011748592022442324,0.011813336231442614,0.3,0.3,1.005658076300437,0.9943157583627735
off_serum1,off,primary,2.8914764159541266e-05,0.018546997398182503,0.019515682314530373,0.020471520235829637,5.126251521478338e-06,0.017850148930258714,0.019053168911255164,0.018714028359060598,0.3,0.3,1.006648112624327,0.993444522218568
