condition,set,alpha,phi_mean,phi_std,phi_p01,phi_p99,phi_min,phi_max,phi_bg_std,phi_cell_std
off_5mM1,caveat,0.0001,-5.075666553722158e-09,0.41159340739250183,-1.1059192419052124,0.9887779951095581,-3.044095039367676,3.101881265640259,0.24091537296772003,0.2656434178352356
off_5mM1,caveat,0.001,-2.7153226889176096e-10,0.1983020156621933,-0.54008549451828,0.5150169730186462,-2.7217459678649902,2.559216260910034,0.14446021616458893,0.14805693924427032
off_5mM1,caveat,0.01,-4.503462186500329e-11,0.08362819254398346,-0.19815810024738312,0.1950979083776474,-1.9224610328674316,1.7551257610321045,0.07024805247783661,0.07020770758390427
off_5mM1,caveat,0.1,1.3907750819053266e-11,0.03147799149155617,-0.06978914886713028,0.0698210746049881,-0.7593069672584534,0.7408291101455688,0.02405993454158306,0.023765480145812035
off_5mM1,caveat,1.0,-8.278422977507638e-13,0.007381843402981758,-0.01660662144422531,0.016660887748003006,-0.17571401596069336,0.15982423722743988,0.005286778789013624,0.0052266912534832954
off_5mM2,caveat,0.0001,-6.728702039993095e-09,0.39511245489120483,-0.9774324297904968,1.019357442855835,-2.8735122680664062,3.2267301082611084,0.2655008137226105,0.23266682028770447
off_5mM2,caveat,0.001,-6.132655494539563e-10,0.17543765902519226,-0.45796504616737366,0.47580546140670776,-2.668823003768921,2.462204694747925,0.13293762505054474,0.12817786633968353
off_5mM2,caveat,0.01,-1.1258655466250822e-11,0.07033473253250122,-0.17655900120735168,0.1762886941432953,-1.9028569459915161,1.699448585510254,0.06298797577619553,0.06313544511795044
off_5mM2,caveat,0.1,-1.324547676401222e-12,0.02445811778306961,-0.05490806698799133,0.055438604205846786,-0.7717443108558655,0.7198027968406677,0.02015540562570095,0.02010018564760685
off_5mM2,caveat,1.0,-4.139211488753819e-14,0.006074933800846338,-0.013689858838915825,0.013732567429542542,-0.17123547196388245,0.1699376404285431,0.0043937223963439465,0.004365458153188229
on_5mM1,caveat,0.0001,-8.477105128967821e-11,0.4546854794025421,-1.127785086631775,1.1539000272750854,-2.7790796756744385,3.2326228618621826,0.273611843585968,0.2632470428943634
on_5mM1,caveat,0.001,-8.344650526126429e-10,0.20686505734920502,-0.5405252575874329,0.5598267912864685,-2.801797389984131,2.551661729812622,0.1499641388654709,0.14326153695583344
on_5mM1,caveat,0.01,1.1126200655242613e-10,0.08329808712005615,-0.19723916053771973,0.19912753999233246,-1.9602510929107666,1.6787300109863281,0.06840943545103073,0.06748843193054199
on_5mM1,caveat,0.1,-4.387564096763885e-12,0.03120703250169754,-0.06942025572061539,0.07004773616790771,-0.7768328785896301,0.7322000861167908,0.02314320206642151,0.022838182747364044
on_5mM1,caveat,1.0,1.6556845955015276e-13,0.007371344603598118,-0.016654642298817635,0.016738224774599075,-0.16792355477809906,0.1579693853855133,0.005080190487205982,0.005046303384006023
on_5mM2,caveat,0.0001,-1.5046861534528944e-08,0.5246932506561279,-1.243447184562683,1.2439827919006348,-3.7793877124786377,3.1464450359344482,0.2823428213596344,0.28880590200424194
on_5mM2,caveat,0.001,-1.748402950196848e-10,0.19887375831604004,-0.530544102191925,0.515569806098938,-3.043185234069824,2.4944591522216797,0.1361941248178482,0.14112599194049835
on_5mM2,caveat,0.01,-2.3576948726677927e-10,0.07390611618757248,-0.18700234591960907,0.1884925663471222,-1.973857045173645,1.9254659414291382,0.06436706334352493,0.06527876853942871
on_5mM2,caveat,0.1,-4.304780056724189e-12,0.02622503601014614,-0.060454968363046646,0.06118277832865715,-0.8398085832595825,0.8588626384735107,0.02140594646334648,0.021463647484779358
on_5mM2,caveat,1.0,1.6556845955015276e-13,0.006686142645776272,-0.015625150874257088,0.015660595148801804,-0.17577171325683594,0.18738792836666107,0.004881942644715309,0.0048730643466115
