condition,set,alpha_default,phi_mean,phi_std,phi_p01,phi_p99,phi_min,phi_max,phi_bg_std,phi_cell_std
off_100mM1,primary,0.01,2.914004801346515e-11,0.07671304792165756,-0.15739765763282776,0.15770223736763,-2.5404436588287354,2.5267834663391113,0.0788004994392395,0.08213189989328384
off_100mM2,primary,0.01,-2.9802321634825324e-12,0.06501571834087372,-0.14196301996707916,0.14351941645145416,-2.127509832382202,2.299010992050171,0.0644974634051323,0.06399045139551163
off_100mM3,primary,0.01,-5.861123392181256e-11,0.059410132467746735,-0.15480905771255493,0.1624814122915268,-1.9963899850845337,1.5308586359024048,0.05295313894748688,0.05272411182522774
off_5mM3,primary,0.01,1.9205940657296416e-11,0.0940331444144249,-0.2077370584011078,0.21104370057582855,-2.7052667140960693,2.599043846130371,0.10033334791660309,0.0998416617512703
off_NO10_1,primary,0.01,4.3213366912597806e-11,0.07646993547677994,-0.1697854846715927,0.17221637070178986,-2.12729811668396,2.214783191680908,0.07753828912973404,0.07770048081874847
off_NO10_2,primary,0.01,5.82800960269303e-11,0.06495539098978043,-0.1675940603017807,0.16886024177074432,-1.1457914113998413,1.2395267486572266,0.05738463252782822,0.057405125349760056
off_serum1,primary,0.01,3.9239726051798485e-11,0.05969492346048355,-0.13602589070796967,0.13513250648975372,-1.849393367767334,2.1810128688812256,0.05723271891474724,0.05393468216061592
off_serum2,primary,0.01,1.812974596837602e-11,0.06900165230035782,-0.14974839985370636,0.14705012738704681,-2.5066072940826416,2.3613109588623047,0.06672932207584381,0.06850263476371765
off_serum3,primary,0.01,4.702144229540295e-11,0.10258286446332932,-0.2554011642932892,0.2553035318851471,-1.5641815662384033,1.8827848434448242,0.07464797794818878,0.07433808594942093
on_100mM1,primary,0.01,-2.914004801346515e-11,0.08260732144117355,-0.1612732708454132,0.1568365842103958,-3.125481128692627,3.8065364360809326,0.08769924193620682,0.08617649227380753
on_100mM2,primary,0.01,1.3377930707658692e-10,0.0693945437669754,-0.14408642053604126,0.14808471500873566,-2.0262086391448975,2.150221109390259,0.06517911702394485,0.06594758480787277
on_100mM3,primary,0.01,9.006924373000658e-11,0.06323609501123428,-0.14501561224460602,0.14949354529380798,-1.8583704233169556,1.8109725713729858,0.05740417540073395,0.057606104761362076
on_5mM3,primary,0.01,3.7749608994275263e-11,0.09158948063850403,-0.20321518182754517,0.21064461767673492,-2.393597364425659,2.204951763153076,0.095785953104496,0.09503805637359619
on_NO10_1,primary,0.01,-4.851155935292617e-11,0.07996883243322372,-0.1644745022058487,0.16450968384742737,-2.202646493911743,2.419661045074463,0.08143678307533264,0.08142293989658356
on_NO10_2,primary,0.01,-3.761715383632236e-10,0.06799891591072083,-0.17754650115966797,0.17898714542388916,-1.0734751224517822,1.141595721244812,0.057492878288030624,0.05734037235379219
on_serum1,primary,0.01,2.0530488767378507e-11,0.06382178515195847,-0.14036938548088074,0.14073054492473602,-1.9792416095733643,2.390455484390259,0.05650065094232559,0.05565457046031952
on_serum2,primary,0.01,-7.947286058407332e-12,0.07268210500478745,-0.15476775169372559,0.15501609444618225,-2.433772325515747,2.4433646202087402,0.06994324922561646,0.07117030024528503
on_serum3,primary,0.01,-2.7086999310199644e-10,0.09808830916881561,-0.24062712490558624,0.24423529207706451,-1.68658447265625,1.8711625337600708,0.07461950927972794,0.07414267212152481
